Fecha;TIPO CAMBIO COMPRA;TIPO DE CAMBIO VENTA;
1 ene 2015;533,31;545,53;
2 ene 2015;533,31;545,53;
3 ene 2015;533,27;545,65;
4 ene 2015;533,27;545,65;
5 ene 2015;533,27;545,65;
6 ene 2015;533,05;545,51;
7 ene 2015;532,82;545,28;
8 ene 2015;533,10;545,40;
9 ene 2015;533,07;545,40;
10 ene 2015;533,17;545,50;
11 ene 2015;533,17;545,50;
12 ene 2015;533,17;545,50;
13 ene 2015;533,20;545,40;
14 ene 2015;533,09;545,36;
15 ene 2015;530,64;543,13;
16 ene 2015;530,10;542,41;
17 ene 2015;530,04;542,29;
18 ene 2015;530,04;542,29;
19 ene 2015;530,04;542,29;
20 ene 2015;530,15;542,20;
21 ene 2015;530,08;542,10;
22 ene 2015;530,07;542,11;
23 ene 2015;530,10;542,23;
24 ene 2015;529,91;542,06;
25 ene 2015;529,91;542,06;
26 ene 2015;529,91;542,06;
27 ene 2015;529,98;542,08;
28 ene 2015;529,86;542,09;
29 ene 2015;529,87;542,08;
30 ene 2015;530,53;542,64;
31 ene 2015;530,85;543,08;
1 feb 2015;530,85;543,08;
2 feb 2015;530,85;543,08;
3 feb 2015;530,98;543,16;
4 feb 2015;530,85;543,09;
5 feb 2015;531,58;543,75;
6 feb 2015;532,48;544,64;
7 feb 2015;532,59;544,74;
8 feb 2015;532,59;544,74;
9 feb 2015;532,59;544,74;
10 feb 2015;532,71;544,72;
11 feb 2015;532,60;544,68;
12 feb 2015;532,63;544,65;
13 feb 2015;531,33;543,34;
14 feb 2015;531,14;543,26;
15 feb 2015;531,14;543,26;
16 feb 2015;531,14;543,26;
17 feb 2015;530,86;542,86;
18 feb 2015;530,76;542,81;
19 feb 2015;530,46;542,41;
20 feb 2015;530,27;542,25;
21 feb 2015;529,97;541,96;
22 feb 2015;529,97;541,96;
23 feb 2015;529,97;541,96;
24 feb 2015;529,31;541,14;
25 feb 2015;528,84;540,78;
26 feb 2015;528,72;540,66;
27 feb 2015;528,64;540,59;
28 feb 2015;528,69;540,58;
29 feb 2015;;;
1 mar 2015;528,69;540,58;
2 mar 2015;528,69;540,58;
3 mar 2015;527,91;539,61;
4 mar 2015;527,78;539,52;
5 mar 2015;528,64;540,47;
6 mar 2015;528,75;540,53;
7 mar 2015;528,68;540,53;
8 mar 2015;528,68;540,53;
9 mar 2015;528,68;540,53;
10 mar 2015;528,76;540,54;
11 mar 2015;528,63;540,52;
12 mar 2015;528,39;540,31;
13 mar 2015;527,56;539,46;
14 mar 2015;526,87;538,80;
15 mar 2015;526,87;538,80;
16 mar 2015;526,87;538,80;
17 mar 2015;526,92;538,73;
18 mar 2015;526,67;538,51;
19 mar 2015;526,70;538,54;
20 mar 2015;526,48;538,40;
21 mar 2015;526,45;538,35;
22 mar 2015;526,45;538,35;
23 mar 2015;526,45;538,35;
24 mar 2015;526,54;538,37;
25 mar 2015;526,45;538,37;
26 mar 2015;526,42;538,38;
27 mar 2015;526,45;538,38;
28 mar 2015;526,46;538,36;
29 mar 2015;526,46;538,36;
30 mar 2015;526,46;538,36;
31 mar 2015;527,36;539,08;
1 abr 2015;527,35;539,12;
2 abr 2015;526,65;539,01;
3 abr 2015;526,65;539,01;
4 abr 2015;526,65;539,01;
5 abr 2015;526,65;539,01;
6 abr 2015;526,65;539,01;
7 abr 2015;526,72;538,61;
8 abr 2015;526,45;538,50;
9 abr 2015;526,46;538,49;
10 abr 2015;526,47;538,43;
11 abr 2015;526,30;538,22;
12 abr 2015;526,30;538,22;
13 abr 2015;526,30;538,22;
14 abr 2015;526,36;538,11;
15 abr 2015;526,03;537,85;
16 abr 2015;525,75;537,48;
17 abr 2015;525,44;537,38;
18 abr 2015;525,36;537,28;
19 abr 2015;525,36;537,28;
20 abr 2015;525,36;537,28;
